Question,Answer
Was Volta an Italian physicist?,yes
Was Volta an Italian physicist?,yes
Is Volta buried in the city of Pittsburgh?,no
Is Volta buried in the city of Pittsburgh?,no
Did Volta have a passion for the study of electricity?,yes
Did Volta have a passion for the study of electricity?,yes
What is the battery made by Volta credited to be?,the first cell
What is the battery made by Volta credited to be?,the first cell
What important electrical unit was named in honor of Volta?,the volt
What important electrical unit was named in honor of Volta?,volt
Where did Volta enter retirement?,Spain
How many years ago was it when Volta married the daughter of Count Ludovico Peregrini , Teresa 
Is the electrolyte sulphuric acid?,Yes
Is volta buried in the city  of Como?,Yes
Was his 1800  paper written in French?,Yes
Before 1796, was Lombardy ruled by Austria?
Did he receive the Society`s 1794 Copley Medal?,Yes
Did he experiment with individual cells?,Yes
When did lombardy come under Napoleon`s rule?,From 1796 to 1815
Where did he publish his invention of the Voltaic pile battery?,the Philosophical Transactions of the Royal Society
Did he become professor of experimental physics at the University of Pavia?,Yes
Is it true that his passion been always the study of electricity?,Yes
His passion been always the study of what?,Electricity
Is it true that Volta married the daughter of Count Ludovico Peregrini?,Yes
Is it true that he published his invention of the Voltaic pile battery?,Yes
Was Amedeo Avogadro Italian?,Yes
Was Amedeo Avogadro Italian?,yes
Did Amedeo Avogadro graduate?,Yes
Did Amedeo Avogadro graduate?,yes
Did Avogadro live in England?,No
Where was Avogadro a professor of physics?,University of Turin
Where was Avogadro a professor of physics?,University of Turin
How many children did Avogadro have?,six
How many children did Avogadro have?,six
What is Avogadro most noted for?,contributions to the theory of molarity and molecular weight
What is Avogadro most noted for?,contributions to the theory of molarity and molecular weight
What subject did Avogadro study first?,ecclesiastical law
What subject did Avogadro study first?,ecclesiastical law
What was Amedeo Avogadro`s birthplace?,Turin
What was Amedeo Avogadro`s profession?,professor of physics
How many years ago was it when he became a professor of physics at the University of Turin?,189
What is Amedeo Avogadro`s first name?,Amedeo
What is Amedeo Avogadro`s last name?,Avogadro
Was Amedeo Avogadro born in North America?,no
Was King Victor  Emmanuel  III there to pay  homage  to Avogadro?,Yes
Is avogadro `s  number commonly used to compute  the results  of chemical reactions?,Yes
Hence, can relative molecular  masses be calculated from the masses  of gas samples?
Did he publish his work?,Yes
Did Avogadro submit his poem?,Yes.
Is it true that loschmidt calculated first the value of Avogadro number?,Yes
Loschmidt calculated first the value of what?,Avogadro's number
Hence , can relative molecular masses be calculated from the masses of gas samples ?
"Can the title of this famous 1811 paper be roughly translated into English as ""essay on determining the Relative Masses of the Elementary Molecules of Bodies"" ?",Yes.
What is Amedeo Avogadro?,A person.
Where is Amedeo Avogadro from?,Italy.
What did Anders Celsius determine about the boiling of water?,dependence with atmospheric pressure
Which temperature scale did Celsius propose?,Celcius
Which temperature scale did Celsius propose?, the Celsius temperature scale 
What is the boiling point of water dependent on?,atmospheric pressure
What is the boiling point of water dependent on?,atmospheric pressure
Where was Celsius born?,Uppsala in Sweden
Where was Celsius born?,Uppsala
"Whad did Celsius report in his paper ""Observations of two persistent degrees on a thermometer""?",the freezing point is independent of latitude
How old was Celsius when he died?,Forty Two
How old was Celsius when he died?,Forty Two
What is the difference between Celsius' original temperature scale and the one we use today?,The scale was reversed by Carolus Linnaeus. 
What is the difference between Celsius' original temperature scale and the one we use today?,scale was reversed 
What was Anders Celsius`s profession?,professor of astronomy
